word,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
μπλεγμενος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ντουλαπα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ντουλαπα ρουχων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
νημα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
νιαου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
νυχτα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ξηροι καρποι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οδικος αξονας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οικοδομικο τετραγωνο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οικονομικη δυνατοτητα,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ομοιοκαταληξια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οικονομικα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ομιλια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ουρα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πεπρωμενο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πολεμικο ναυτικο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προστασια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πρωινο γευμα,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πτυχιακη εργασια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
παγκοσμιος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
παλατι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
παλαιοτερα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
περιεργο,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
περικαρπιο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
περιμενετε,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
περιοδικα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
περπατηστε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πιστεψτε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πουλω,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προαστια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προκαθορισμενο,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
προμηθεια,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προμηθευτη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προσοχη,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
προφιλ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προεδρος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ροδα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ρολοι χειρος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ραγισμενο,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ρεκορ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ρυθμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ρωτηστε,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σιδηροδρομικη γραμμη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σπονδυλικη στηλη,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
στρατος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
συμμαχια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
σωσιβια λεμβος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σαγκαη,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
σεβασμος,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
σημαντικο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σημεια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σημειωση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σπρωξτε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
στουντιο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
στροβιλιζεται,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
συγκεντρωνω,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
συμμετοχη,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
συναισθηματικη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
συνδεσμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
συστημα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ταυτοχρονα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
τετραδιο εργασιων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
τυχερα παιχνιδια,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
τερας,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
τιποτα περισσοτερο,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ταυτοτητα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
τραβηξτε,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
τυπωνω,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
υπουργειο,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
φεστιβαλ,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
φινλαν,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
φοινιξ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
φορτιστης,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
φυσικα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
φωτια,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
χωρος εργασιας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χαρακτηριστικο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χοιρος,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
χριστουγεννα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χωρις τιτλο,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
χωρα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χωρες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ψαξιμο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αβακας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
αβαταρ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αβολα,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
αβολος,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
αβυσσος,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
αγαλμα,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγαμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγγελος,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
αγευστος,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
αγιος,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
αγκιστρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγκυρα,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγλυκος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγνοια,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγνωστος,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
αγονος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγραφος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγραφτος ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αγριος,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
αγριος ιππος της αμερικης,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αδεια,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αδεια ανευ αποδοχων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αδειο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αδετος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αδηλος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αδικο,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
αδικος,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
αδυτο,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
αεργος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αθελα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αθεος,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αθικτος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
αθλημα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αθλιος,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
αθραυστος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αθρησκος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
αθροιση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αθροισμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ακακος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ακαμπτος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ακαρδος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ακαρπος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ακοπος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ακρη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ακρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ακυρος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλγεβρα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλγος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
αλεσμα,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλικος ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλκη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλλοθι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλμα,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
αλμη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλμπουμ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλογο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
αλογο κουρσας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλσος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αλυτος,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
αμβλωση,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
αμβωνας,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμεμπτος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμμους,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμοιρος ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμορφη μαζα,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
αμορφος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμπωτη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμυλο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμυλο αραβοσιτου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμυνα,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
αμωμος,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ανδρας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανεμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανεργος,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ανεση,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
ανευ αξιας,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ανευ προηγουμενου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ανθηση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανθινος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανθος,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
ανθρακας,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ανθρωποι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανισος,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ανοια,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ανοιγμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανοστος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανυδρος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανω κατω τελεια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ανω τελεια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αξεστος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αξιος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
αξονας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αοπλος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
απαχος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
απειρο,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
απειρος,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
απιαστος,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
απιστος,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
απληστος,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
απλυτος,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
αποικος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
απονος,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
απορος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
αποψη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
απραγος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρδευση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρθρα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρθρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρθρωση,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρθρωση των δακτυλων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρνηση,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αροτρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αρρηκτος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
αρρωστος,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
αρχισε,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
αρχοντας,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
αρωμα,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ασεμνος,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ασκηση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ασκοπος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ασπιλος,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ασπλαχνος,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
