word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
χώρες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ψάξιμο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άβακας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
άβαταρ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άβολα,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
άβολος,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0
άβυσσος,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
άγαλμα,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άγαμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άγγελος,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
άγευστος,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άγιος,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
άγκιστρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άγκυρα,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άγλυκος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άγνοια,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άγνωστος,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
άγονος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άγραφος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άγραφτος ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άγριος,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0
άγριος ίππος της αμερικής,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άδεια,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
άδεια άνευ αποδοχών,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άδειο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άδετος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άδηλος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άδικο,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άδικος,0.75,0.0,0.5,0.0,0.0,0.75,0.0,0.5,0.0,0.0
άδυτο,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
άεργος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άθελα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άθεος,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άθικτος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
άθλημα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άθλιος,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άθραυστος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άθρησκος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άθροιση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άθροισμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άκακος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άκαμπτος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άκαρδος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άκαρπος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άκοπος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άκρη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άκρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άκυρος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άλγεβρα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλγος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άλεσμα,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άλικος ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλκη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλλοθι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλμα,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
άλμη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλμπουμ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλογο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
άλογο κούρσας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλσος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άλυτος,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμβλωση,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
άμβωνας,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άμεμπτος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άμμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμμους,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμοιρος ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμορφη μάζα,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
άμορφος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμπωτη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμυλο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμυλο αραβοσίτου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άμυνα,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
άμωμος,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
άνδρας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άνεμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άνεργος,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
άνεση,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5
άνευ αξίας,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άνευ προηγουμένου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
άνθηση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άνθινος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άνθος,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
άνθρακας,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0
άνθρωποι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άνισος,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0
άνοια,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
άνοιγμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άνοστος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άνυδρος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άνω κάτω τελεία,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άνω τελεία,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άξεστος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άξιος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
άξονας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άοπλος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άπαχος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άπειρο,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
άπειρος,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
άπιαστος,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0
άπιστος,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,0.0
άπληστος,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άπλυτος,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άποικος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άπονος,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
άπορος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
άποψη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άπραγος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άρδευση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άρθρα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άρθρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άρθρωση,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
άρθρωση των δάκτυλων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
